pair_dir,prompt_a,prompt_b,variant,pixel_mse_to_A_full,pixel_l2_to_A_full,pixel_mse_to_B_full,pixel_l2_to_B_full,lpips_to_A_full,lpips_to_B_full,clip_align_to_prompt_A,clip_align_to_prompt_B,clip_semantic_margin_B_minus_A,b_survival_ratio_mse,a_dominance_ratio_mse
./ab_out_k27/dancer/pair_02_A_young_woman_in_a_flowing_whi__A_young_woman_in_a_flowing_cri,A young woman in a flowing white dress dances gracefully in a sunlit grassy meadow,A young woman in a flowing crimson red dress dances gracefully in a sunlit grassy meadow,B_from_step2,0.10053423047065735,3100.28271484375,0.09837369620800018,3051.892822265625,,,0.2803226113319397,0.3164294958114624,0.036106884479522705,1.0219625199208633,0.9785094663524803
./ab_out_k27/dancer/pair_02_A_young_woman_in_a_flowing_whi__A_young_woman_in_a_flowing_cri,A young woman in a flowing white dress dances gracefully in a sunlit grassy meadow,A young woman in a flowing crimson red dress dances gracefully in a sunlit grassy meadow,B_from_step7,0.02995438314974308,1695.21142578125,0.15604843199253082,3863.063232421875,,,0.26973646879196167,0.2565630376338959,-0.013173431158065796,0.19195568175383415,5.209535820265064
